要件ID,仕様書参照,対象機能,対象画面,対象ロール,事前条件,操作,期待結果,実装箇所,テストID,検証方法,検証証拠,結果,不具合ID,備考
A-011,§1,お知らせ（概要）,お知らせ,-,-,機能の存在確認,お知らせ・情報周知の配信機能と既読管理機能が存在する,,e2e/11-announcements-docs.spec.ts:お知らせ: R3が全体向け（添付付き）を作成; e2e/11-announcements-docs.spec.ts:お知らせ: 重要フラグ → 一覧上部ピン+重要バッジ、R9閲覧でAnnouncementRead記録,E2E,,PASS,,詳細は§7.7（別担当）
A-012,§1,窓口案件管理（概要）,ホットライン窓口/消費者センター窓口,-,-,機能の存在確認,ホットライン窓口・消費者センター窓口の案件管理機能（SNC⇔代理店のやりとり）が存在する,,e2e/09-cases-snc.spec.ts:§7.8 ホットライン窓口（SNC側）; e2e/09-cases-snc.spec.ts:§7.9 消費者センター窓口（SNC側）; e2e/10-cases-agency.spec.ts:§7.10 代理店向け窓口ビュー（R7）,E2E,,PASS,,詳細は§7.8〜7.10（別担当）
A-013,§1 / §7.13,AI系・ゲーミング要素,サイドメニュー,全ロール,任意ロールでログイン,サイドメニューと全ページを確認,AIチャット/AI研修/AIロープレ/ゲーミング要素の画面・メニュー項目・グレーアウト項目が一切存在しない（サイドメニューは§11.1の11項目のみ）,,e2e/02-nav-permissions.spec.ts:サイドメニュー表示マトリクス（§11.1）,E2E,src/ 全体を grep（AIチャット|ロープレ|ゲーミング|準備中|現場アシスト|AI事務局|AI研修）で該当UI/ルート0件。localhost:3100 で /ai-chat /support /chat が404。src/lib/roles.ts の FUTURE_FEATURE_ACCESS は権限定義の型のみで画面・メニューを生成しない,PASS,,§14-6: 詳細要件が未確定のため実装しないのが暫定判断（要件シート4・5欠番）。仕様判断不能の可能性 / メニューはMENU定義の11項目+代理店統合ビューのみ
A-014,§1 / §7.13,AI系・ゲーミング要素,-,-,-,permissions.ts等の権限定義を確認,AIチャット（全体/1次店向け）・AI研修/AIロープレ・ゲーミング要素の権限定義の枠（enum・宣言的マップ上の項目）のみが先行して存在する,,,CODE,"src/lib/roles.ts:147-163 に将来機能の権限枠が新設: FutureFeatureKey = ai-chat-all | ai-chat-primary | ai-training | ai-roleplay | gaming（149-154行）と FUTURE_FEATURE_ACCESS: Record<FutureFeatureKey, Role[]>（157-162行）。画面・メニュー項目は未追加（MENU は roles.ts:60-73 の12項目のみ）で §7.13 どおり。",PASS,,第4回レビュー時点の「枠が存在しない」は解消。ただし操作粒度（作成/閲覧の区別）は持たない（P-007参照）。
A-015,§1 用語集,認証（販売員IDログイン）,ログイン,⑨,本登録の販売員IDが存在,販売員ID（例: 110001C001）とパスワードでログイン,販売員IDがAirisのログインIDを兼ねており、Airisアカウント系（①〜⑧⑩）と同じログイン画面からログインできる,,e2e/01-auth.spec.ts:R9(販売員) でログイン → /dashboard; e2e/05-sales-staff.spec.ts:承認フロー: …そのIDでログイン可,E2E,110001C001 が同一/loginからログインでき⑨として認識される,PASS,,"要件1-8, 2-5に対応"
A-016,§1 用語集 / §6.3,訪販員申請,訪販員申請・管理,-,訪販員申請が承認済み,承認後のデータを確認,訪販員に専用IDは発行されず、販売員IDに対する「訪販員申請の登録有無」（ステータス）のみが保持される,C:/Users/hiras/Documents/test/airis/prisma/schema.prisma:116-146; src/app/(app)/field-agents/actions.ts:358-368,,DB,FieldAgentApplicationに訪販員ID列が存在しない（information_schema実査: id/salesStaffId/applicationType/status等のみ）。最終承認はstatus='registered'+workMonth設定のみでID採番なし。販売員IDに対する申請ステータスのみ保持。,PASS,,F-030と同根拠
A-017,§1 用語集,代理店マスタ,下位代理店,-,-,代理店データを確認,代理店コードは6桁（例: 110001）で管理され、アカウントID文字列（airis_1xxxxxx_000等）・販売員ID（xxxxxxC001）の一部として使用される,C:/Users/hiras/Documents/test/airis/prisma/schema.prisma:13; src/app/(app)/account-requests/actions.ts:140-167,,DB,DB実査: Agency.codeは全件6桁（110001/150008/190001/210001/210002/250008等）。Account.loginId=airis_1110001_001（コード110001を含む）、SalesStaff.salesId=110001C001形式（正規表現 ^[0-9]{6}C[0-9]{3}$ に合致）。採番ロジックもコード使用。,PASS,,
A-018,§1 用語集,GiGaCC連携,販売員ID管理,①②③,本登録の販売員が存在,GiGaCC連携用CSV出力を実行,GiGaCCへのAPI連携は存在せず、販売員情報の連携はCSV出力で行える（本登録の販売員のみ出力対象）,,e2e/05-sales-staff.spec.ts:GiGaCC連携CSV出力: 本登録のみが含まれる,E2E,API連携コードは存在せずCSVルート(/sales-staff/csv/gigacc)のみ。本登録のみ出力をE2EでDB突合,PASS,,§14-7: CSVの正確な列仕様は未確定（プロトタイプ準拠で仮実装）。仕様判断不能の可能性
A-019,§1 用語集,認証（独立性）,ログイン,-,-,認証実装を確認,既存ポータルFastLinkとの認証連携（SSO等）は実装されず、Airisは独立したログイン（自前のID/パスワード+TOTP）を持つ,C:/Users/hiras/Documents/test/airis/src/app/(auth)/actions.ts,,CODE,loginAction（(auth)/actions.ts:9-41）は自前のloginId/passwordをDBのAccountテーブルと照合する独立認証。grepで fastlink|sso|oauth|next-auth|saml がsrc/・package.jsonにヒット0件＝FastLink等との認証連携は存在しない。セッションも自前DBストア（lib/auth.ts:22-34）,PASS,,SEC要件①由来 / expectedに含まれるTOTPは発注者指示によりスコープ外(2026-08-05)。本要件の主眼（SSO非連携・独立ログイン）は充足
A-020,§2,技術スタック,-,-,-,リポジトリ構成を確認,Next.js（App Router）+ TypeScript（strict）でフロント/バックエンド一体として構築されている,C:/Users/hiras/Documents/test/airis/tsconfig.json,,PROCESS,"package.json: next 16.3.0 / react 19.2.8 / typescript ^5。src/app/ 配下に App Router 構成（(auth)/(app)ルートグループ、route.ts、server actions）でフロント/バックエンド一体。tsconfig.json に ""strict"": true。",PASS,,
A-021,§2,技術スタック,-,-,-,DB構成を確認,PostgreSQL 16 + Prisma ORMを使用し、開発環境はdocker-composeで提供される。マイグレーションはPrisma Migrate,"C:/Users/hiras/Documents/test/airis/docker-compose.yml, prisma/schema.prisma:1-8, package.json",,PROCESS,"PostgreSQL 16 + Prisma は充足（docker-compose.yml `image: postgres:16` / ポート5433、schema.prisma `provider = ""postgresql""`、package.json `""prisma"": ""^6.19.3""`）。しかし **Prisma Migrate は未使用**: `ls prisma/` → rls.sql / schema.prisma / seed.ts のみで `prisma/migrations/` ディレクトリが存在しない。DB実測でも `select to_regclass('public._prisma_migrations')` → NULL（管理テーブル無し）。package.json に migrate スクリプトが無く、README.md:24 が `npx prisma db push` を手順として案内、README「未実装」節にも「Prisma Migrate（現在は `prisma db push` 運用）」と自己申告。",FAIL,,「マイグレーションはPrisma Migrate」（§2 / §8末尾）に相違。スキーマ変更の履歴管理・本番適用手順が存在しない状態。
A-022,§2 / §10.2,認証・セッション,-,全ロール,-,セッション実装を確認,認証は自前実装（Credentials + TOTP）で、セッションはDBバックドのセッションストアで管理される（JWTのみの構成ではない）。絶対期限・アイドル期限をサーバ側で制御できる,C:/Users/hiras/Documents/test/airis/src/lib/session.ts,,CODE,セッションはDBバックド（prisma Session モデル schema.prisma:62-70、token/createdAt/lastSeenAt/expiresAt）。lib/auth.ts:22-34でトークン生成しDBへ保存、lib/session.ts:49-50で絶対期限（expiresAt<now）とアイドル期限（lastSeenAt+IDLE_MIN超過）をサーバ側で検証し失効。JWTのみの構成ではない,PASS,,期限の具体値（24h/60min）は§4.2/§10.2担当の要件 / expectedのTOTPは発注者指示によりスコープ外(2026-08-05)。DBセッションストア・サーバ側期限制御は充足
A-023,§2 / §10.3,パスワード保護,-,全ロール,アカウントが存在,DBのパスワード格納形式と実装を確認,パスワードはArgon2id（ソルト自動付与+環境変数のアプリケーションペッパー）でハッシュ化され、平文・可逆暗号で保存されない,,"e2e/01-auth.spec.ts:521,578,609,645",CODE,"src/lib/auth.ts:27-56: CURRENT_PEPPER_KEY=""PASSWORD_PEPPER_V1""、prehash() が HMAC-SHA256（鍵=ペッパー）で前段ハッシュ、hashPassword() が @node-rs/argon2 の argon2HashSync（ARGON2_OPTIONS m=19456KiB/t=2/p=1/outputLen=32、OWASP推奨値）。ソルトはArgon2が自動生成しハッシュ文字列に埋め込み。DB実査（airis）: 19アカウント中14件が $argon2id$ プレフィクス。bcryptハッシュはログイン成功時に自動再ハッシュ（auth.ts:211 + audit password_rehash 13件）。E2E: e2e/01-auth.spec.ts:521「旧bcryptハッシュ…成功時にArgon2id+ペッパーへ再ハッシュされる」/ :578 / :609 / :645 いずれもPASS（$argon2id$v=19$m=19456,t=2,p=1$ プレフィクスとペッパー実効性を検証）。平文・可逆暗号カラムは不存在。",PASS,,"残存: prisma/seed.ts:9 が bcrypt.hashSync(pw,10) のままで、クリーンDBへのseed直後は全12アカウントが $2b$10$（実測）。初回ログイン成功時にArgon2id+ペッパーへ自動移行するため実害は限定的だが、シード成果物のハッシュ方式は仕様と不一致。"
A-024,§2,MFA（TOTP）,MFA登録,①〜⑩,MFA未登録アカウントで初回ログイン,MFA登録を実施,TOTP（RFC 6238）のQRコードが表示され、Google Authenticator互換アプリで登録・コード検証してログインできる,-,,E2E,"MFA関連の実装がリポジトリ全体に存在しない。`grep -rni ""otplib|totp|mfaSecret|mfaEnabled"" src/ prisma/ package.json` の唯一のヒットは src/app/(app)/admin/page.tsx:179 の画面上バナー「TODO: MFA(TOTP)は本番リリースまでに実装（SPEC §4.2）」。package.json に otplib / QRコード生成ライブラリの依存なし。DB実測: Account テーブルに mfaSecret / mfaEnabled / mfaRequired 列は0件。MFA登録画面・ルートも存在しない。",NOT_IMPLEMENTED,,otplib使用は技術選定（PROCESS扱い）。⑨のスキップ可否は§4.2担当の要件 / 発注者指示によりスコープ外（残存リスクR-03）
A-025,§2 / §10.1,MFA（TOTP）,-,全ロール,-,MFA実装を確認,SMSおよびEmailはMFA要素として使用されていない（TOTPソフトウェアトークンのみ）,-,,CODE,MFA機構自体が未実装のため「TOTPソフトウェアトークンのみ」という状態を成立させられない。なお禁止条件の側（SMS/EmailをMFA要素にしない）は充足しており、SMS送信の実装は皆無、メールは src/lib/mail.ts の通知送信専用で認証コード送信・検証の経路は存在しない（nodemailer の呼び出しは util.ts notify/notifyRole と cron の督促のみ）。,NOT_IMPLEMENTED,,SEC要件②#11 / 発注者指示によりスコープ外（残存リスクR-03）。禁止事項（SMS/Email をMFA要素にしない）自体は現状違反なし。
A-026,§2,技術スタック,-,-,-,UI実装を確認,Tailwind CSSで実装されている（コンポーネントはshadcn/uiベース可）。デザイントークンは§11に従う,C:/Users/hiras/Documents/test/airis/src/app/globals.css,,PROCESS,"Tailwind CSS v4 で実装（package.json: tailwindcss ^4 + @tailwindcss/postcss、src/app/globals.css で @import ""tailwindcss""、全コンポーネントがユーティリティクラス使用）。デザイントークンは§11.2相当（primary=blue-600系=#2563EB、境界/文字=slate系=#E2E8F0/#334155、バッジはピル型、アイコンは lucide-react ^1.28.0）。shadcn/ui は不使用だが仕様上「可」であり必須ではない。",PASS,,
A-027,§2 / §3.8,ファイルストレージ,-,-,-,ストレージ実装を確認,ストレージ抽象化レイヤが実装され、開発ではローカルディスク・本番ではS3互換に切替可能。DBにはファイルのメタデータのみ保存され実体は保存されない,"C:/Users/hiras/Documents/test/airis/prisma/schema.prisma:299-307（model StoredFile）, src/lib/util.ts:255-274（storeFile）",e2e/14-file-access.spec.ts,CODE,"ストレージ抽象化レイヤは存在しない。model StoredFile が `data Bytes` を持ち、ファイル実体をDB（bytea）に直接格納する（schema.prisma のコメント自体が「ファイル（DB格納・速度優先ビルド）」）。storeFile() は `prisma.storedFile.create({ data: { ..., data: buf } })` で保存、配信は src/app/files/[id]/route.ts が `new Response(new Uint8Array(file.data))` でDBから直接ストリーム。ローカルディスク／S3互換の切替インタフェースも署名URLも無し。README「未実装」節にも「ファイルストレージのS3抽象化・署名URL §2/§3.8 — 実体はDB(bytea)格納のまま」と自己申告。",FAIL,,発注者判断により先送り（残存リスクR-01）
A-028,§2,メール送信,-,-,-,メール送信実装を確認,メール送信は抽象化レイヤ経由で、開発ではコンソール出力・本番ではSMTPまたはSESに切替可能,,,CODE,"src/lib/mail.ts が抽象化レイヤ: sendMail(to,subject,text) が唯一の送信入口（29-50行）、getTransporter() が SMTP_HOST/SMTP_PORT/SMTP_USER/SMTP_PASS/SMTP_SECURE/MAIL_FROM の環境変数で nodemailer transport を構築（14-27行）。SMTP未設定時は mail.ts:33-36 で NODE_ENV!==""production"" のとき console.log(""[mail] (dev/console) To: ..."") と開発コンソール出力を実装。呼び出し側は util.ts:76,103 の notify/notifyRole に集約。README.md:39-50 に環境変数表を記載。",PASS,,§14-8: 本番の送信元等は未確定（環境変数で吸収）。仕様判断不能の可能性 / 第4回時点の「開発時サイレントスキップ」は解消（コンソール出力を追加）。SESへの切替は未実装だが仕様は「SMTPまたはSES」なのでSMTPで充足。
A-029,§2 / §3.7,Slack通知,窓口画面ほか通知チャネル表示箇所,-,Slack Webhook URL（環境変数）が未設定,Slack通知を伴う操作を実行,Webhook URL未設定時は画面に「Slack: 未設定」と表示され、送信はスキップされる（エラーにならない）。設定時はIncoming Webhookへ送信される,C:/Users/hiras/Documents/test/airis/src/components/cases/snc-case-list.tsx:78-131,,E2E,Slack送信処理が存在しない。`grep -rni slack src/` のヒットは (1) snc-case-list.tsx:79 `const slackConfigured = !!process.env.SLACK_WEBHOOK_URL;` と :126-128 のバッジ表示、(2) 各actionsの「Slack通知は発注者確認により本フェーズ対象外」コメント、(3) schema.prisma:319 の channel 列コメントのみ。Incoming Webhook への fetch/POST は皆無。/hotline を⑤で実測すると `Slack: 未設定`（グレーバッジ）が表示され、起票・返信は正常完了しエラーにならない（curl実測: 案件詳細200・返信フォーム表示、cron実行でも例外なし）。,NOT_IMPLEMENTED,,§14-8: 本番Webhook未確定。仕様判断不能の可能性 / 発注者指示によりスコープ外（残存リスクR-02）。「未設定表示＋送信スキップ（エラーにならない）」の部分のみ充足、「設定時はIncoming Webhookへ送信」は未実装。
A-030,§2,テスト基盤,-,-,-,テスト構成を確認,Vitest（単体）とPlaywright（E2E）が導入され実行できる,,npm run test:unit (212 passed) / npm run test:e2e (322 passed / 2 skipped),PROCESS,"package.json:13-16 に test:unit: vitest run / test:e2e: playwright test / test:e2e:prod / test:e2e:proxy。devDependencies に vitest ^4.1.10（42行）と @playwright/test ^1.62.1（30行）。vitest.config.ts / playwright.config.ts ともgit追跡済み（git ls-files で確認）。テストファイルもgit追跡: tests/unit/{account-approval-rules,csv,fiscal,permissions-coverage,permissions,roles,trusted-ip}.test.ts と e2e/01〜21-*.spec.ts。実行確認: PASSWORD_PEPPER_V1=... npx vitest run → 7 files / 212 tests passed、npx playwright test（既定構成サーバー3111）→ 322 passed / 2 skipped。",PASS,,第4回時点の「未導入・git未追跡」は完全解消。QA責任者報告値（322/2、212件、プロキシ構成9/1）を自分で再実行して一致確認。lint 0 / tsc exit 0 も再現。
A-031,§2,CI品質ゲート,-,-,-,GitHub Actions設定を確認,ESLint + Prettier + `tsc --noEmit` がCI（GitHub Actions）で必須化されている,C:/Users/hiras/Documents/test/airis/.github/workflows/ci.yml,,PROCESS,ci.yml のステップは `npm ci` / `npm run lint`（ESLint）/ `npx tsc --noEmit` / `npm run test:unit` / `npm run build` の5つ。**Prettier が存在しない**: package.json の dependencies/devDependencies に prettier なし、`npm run format` 等のスクリプトなし、.prettierrc / prettier.config.* もリポジトリに存在しない（`grep -rn prettier package.json .github/ eslint.config.mjs` → 0件）。README「未実装」節にも「Prettier（CIはESLint + tsc + Vitest + build）」と自己申告。,FAIL,,ESLint + `tsc --noEmit` のCI必須化は充足。Prettier のみ欠落のため §2「ESLint + Prettier + tsc --noEmit をCIで必須化」に相違。
A-032,§2,タイムゾーン・日付表記,全画面,全ロール,-,画面・CSV出力の日付日時を確認,タイムゾーンはAsia/Tokyo固定で、日付は「YYYY-MM-DD」、日時は「YYYY-MM-DD HH:mm」形式で表示される,,e2e/03-account-requests.spec.ts:履歴イベントの日付がJST基準で記録される（§2: Asia/Tokyo固定）; e2e/09-cases-snc.spec.ts:期限バッジ3態,E2E,src/lib/util.ts today()=JST YYYY-MM-DD / nowJst()=YYYY-MM-DD HH:mm。各画面のjst()も同形式。CSVもjst()経由,PASS,,
A-033,§3.1,テナント分離,-,-,-,Prismaスキーマ/DBを確認,全業務テーブルに代理店スコープ（primaryAgencyId / secondaryAgencyId）カラムが存在する,C:/Users/hiras/Documents/test/airis/prisma/schema.prisma,,DB,"DB実測（information_schema.columns、agency系カラムの棚卸）: Case=primaryAgencyId,secondaryAgencyId / Submission=primaryAgencyId,submitterAgencyId / SalesStaff,DailyReport,CaseRead,Account,AccountRequest=agencyId のみ。**FieldAgentApplication は代理店スコープの外部キー列を一切持たない**（保持しているのは agencyCode1 / agencyCode2 / agencyName / primaryAgencyName という文字列のみ）。Announcement / Document / CaseMessage / CaseStatusHistory にも代理店スコープ列なし。",FAIL,,"訪販員申請のスコープは親 SalesStaff 経由でのみ解決され、RLSも `EXISTS (SELECT 1 FROM ""SalesStaff"" s WHERE s.id = ""FieldAgentApplication"".""salesStaffId"")`（prisma/rls.sql:99-105）と間接参照。§3.1「全業務テーブルに代理店スコープ（primaryAgencyId / secondaryAgencyId）を持たせる」に相違。Announcement/Document は公開範囲（audience/visibility）方式で設計上の代替あり。"
A-034,§3.1,テナント分離,-,⑦⑧⑨⑩,代理店系ロールでログイン,クエリパラメータ等で他代理店のIDを指定してAPIリクエスト,クライアント由来の代理店IDは信用されず、認証セッションから解決したスコープがサーバ側で必ず検証され、スコープ外データは返らない（拒否される）,"src/lib/auth.ts, src/lib/session.ts, src/lib/prisma.ts, prisma/rls.sql",,API,agencyScope()（auth.ts:83-101）がセッションから解決したロール/agencyIdのみでスコープ配列を生成。クライアント由来IDは各actionで検証（account-requests/actions.ts:56 scope.includes、sales-staff/actions.ts:70-71 R8自店固定+scope検証、reports/actions.ts:394-399 R8強制上書き+scope検証、cases/actions.ts:137-140）。さらにDB側RLS: pg_policies照会で8テーブル（Case/CaseMessage/CaseRead/CaseStatusHistory/DailyReport/FieldAgentApplication/SalesStaff/Submission）にrls_scopeポリシー+FORCE ROW LEVEL SECURITY有効を実DB（localhost:5433/airis）で確認。未設定時fail-closed（prisma.ts:8-9）。,PASS,,多層防御（アプリ層+RLS）実装済み。ロール別の動的検証はE2Eスイート（e2e/02-nav-permissions.spec.ts）で補完。認証必須のためコード+DB証拠による判定
A-035,§3.1,データスコープ（SNC系）,-,①②③④⑤⑥,SNC系ロールでログイン,複数代理店のデータを参照,全代理店のデータを横断参照できる（ただし§5の機能権限表で許可された機能・操作の範囲内。④はダミー表示ページで実データ非表示）,"src/lib/auth.ts:88-90, src/lib/session.ts:83-84",,API,R1/R2/R3/R5/R6はagencyScope()が全非ダミー代理店の配列を返し（auth.ts:88-91）、RLSコンテキストはbypass=true（session.ts:83-84）で全代理店横断参照可。機能権限はrequirePage+MENU roles（roles.ts:54-73）で§5どおり制限。R4はダミー代理店のみのスコープ（auth.ts:84-87、実DBでisDummy=true代理店990001/991001の存在確認）。,PASS,,④はダミー代理店データに自動スコープ。E2E 02-nav-permissionsで全ロール×12ルートを動的検証
A-036,§3.1,データスコープ（1次代理店）,-,⑦,⑦でログイン。他の1次店系列のデータが存在,自店・配下・他系列のデータを参照,自店と配下の2次代理店のデータのみ参照でき、他の1次店系列のデータは取得できない（一覧にも詳細APIにも出ない）,"src/lib/auth.ts:93-99, src/app/(app)/agency-cases/page.tsx:23-27",,API,"R7のスコープ=[自店, ...parentId=自店の2次店]のみ（auth.ts:93-99）。他1次店系列は含まれない。一覧クエリはこのスコープでフィルタ（agency-cases/page.tsx:27 primaryAgencyId in scope、agencies/page.tsx:45 baseWhere）、詳細取得もloadStaffInScope/appInScope/case詳細でscope.includes検証。RLSでも同一スコープをapp.scopeに設定し二重防御。実DBで1次店3店（110001/150008/190001）の系列分離データ確認。",PASS,,E2Eで動的検証（e2e/02）。監査ログに実際のaccess_denied記録127件あり
